Cation Runtime (min),Neutral Runtime (min),Cation@Neutral Runtime (min),Neutral@Cation Runtime (min),Monomer 1,Monomer 2,Oligomer Length
1512.0,910.0,44.0,39.0,30,47,6
1743.0,738.0,44.0,19.0,18,51,6
866.0,424.0,38.0,17.0,18,34,6
1570.0,617.0,55.0,22.0,67,81,6
686.0,571.0,213.0,15.0,29,70,6
742.0,336.0,27.0,13.0,37,61,6
1382.0,2144.0,37.0,17.0,28,53,6
2220.0,289.0,29.0,14.0,45,49,6
704.0,410.0,27.0,12.0,27,46,6
1265.0,665.0,38.0,14.0,20,30,6
608.0,503.0,23.0,8.0,11,91,6
823.0,644.0,37.0,15.0,6,57,6
638.0,326.0,31.0,16.0,8,47,6
590.0,1129.0,30.0,13.0,5,69,6
1245.0,492.0,38.0,15.0,51,69,6
14308.0,491.0,32.0,13.0,24,69,6
1074.0,645.0,54.0,25.0,29,47,6
2322.0,770.0,37.0,22.0,30,45,6
1236.0,600.0,29.0,32.0,5,45,6
1772.0,307.0,27.0,33.0,45,69,6
1418.0,840.0,36.0,14.0,30,69,6
761.0,333.0,24.0,10.0,24,45,6
1051.0,542.0,24.0,10.0,32,33,6
569.0,418.0,33.0,14.0,39,50,6
610.0,329.0,35.0,16.0,15,47,6
1266.0,508.0,43.0,20.0,18,69,6
1097.0,889.0,37.0,15.0,54,69,6
1093.0,354.0,31.0,14.0,21,69,6
407.0,259.0,29.0,18.0,10,47,6
550.0,332.0,36.0,16.0,49,50,6
513.0,346.0,22.0,10.0,2,33,6
611.0,371.0,46.0,24.0,47,60,6
1204.0,1327.0,77.0,15.0,67,69,6
698.0,776.0,24.0,10.0,12,69,6
345.0,185.0,29.0,14.0,2,47,6
2363.0,739.0,31.0,16.0,45,95,6
1649.0,989.0,60.0,24.0,23,47,6
465.0,311.0,35.0,20.0,42,47,6
818.0,311.0,27.0,12.0,11,66,6
603.0,356.0,37.0,22.0,37,47,6
2368.0,946.0,34.0,14.0,24,95,6
777.0,948.0,44.0,13.0,29,33,6
1164.0,512.0,34.0,15.0,62,69,6
1149.0,479.0,25.0,11.0,25,94,6
1147.0,1696.0,37.0,17.0,17,69,6
867.0,308.0,28.0,10.0,9,66,6
939.0,561.0,35.0,14.0,14,66,6
490.0,270.0,38.0,31.0,32,47,6
1142.0,886.0,32.0,16.0,26,47,6
669.0,779.0,40.0,17.0,46,61,6
1199.0,776.0,44.0,22.0,18,47,6
712.0,758.0,27.0,14.0,15,69,6
839.0,386.0,28.0,14.0,60,69,6
489.0,350.0,27.0,14.0,1,50,6
2050.0,949.0,38.0,25.0,45,51,6
1115.0,438.0,32.0,18.0,45,47,6
911.0,635.0,42.0,16.0,29,69,6
583.0,347.0,30.0,26.0,24,47,6
725.0,606.0,42.0,21.0,5,47,6
745.0,715.0,23.0,10.0,8,69,6
1992.0,1652.0,35.0,13.0,24,76,6
510.0,527.0,28.0,12.0,44,50,6
816.0,529.0,36.0,16.0,65,69,6
771.0,389.0,41.0,23.0,21,47,6
4064.0,1148.0,57.0,21.0,38,45,6
1173.0,306.0,19.0,9.0,12,33,6
640.0,497.0,31.0,13.0,59,69,6
1347.0,887.0,45.0,18.0,38,69,6
806.0,483.0,50.0,18.0,66,96,6
789.0,533.0,35.0,13.0,37,69,6
473.0,346.0,29.0,13.0,42,69,6
809.0,542.0,182.0,12.0,24,67,6
2843.0,1069.0,247.0,19.0,23,69,6
427.0,276.0,21.0,9.0,2,69,6
1077.0,1116.0,35.0,14.0,56,69,6
504.0,310.0,30.0,16.0,12,47,6
2195.0,785.0,30.0,14.0,15,95,6
2507.0,492.0,33.0,13.0,26,69,6
976.0,378.0,25.0,15.0,32,45,6
1731.0,1170.0,39.0,15.0,53,69,6
1598.0,816.0,36.0,13.0,7,69,6
832.0,413.0,29.0,12.0,32,69,6
2029.0,509.0,24.0,26.0,26,45,6
827.0,485.0,37.0,19.0,47,69,6
953.0,221.0,29.0,11.0,4,66,6
1215.0,499.0,28.0,13.0,22,37,6
1109.0,489.0,36.0,18.0,17,47,6
1892.0,1140.0,34.0,15.0,27,69,6
906.0,376.0,26.0,13.0,33,45,6
611.0,370.0,26.0,11.0,19,33,6
754.0,320.0,28.0,10.0,6,69,6
951.0,482.0,39.0,16.0,52,69,6
2404.0,473.0,45.0,18.0,18,66,6
1245.0,572.0,34.0,13.0,33,69,6
553.0,428.0,34.0,14.0,46,69,6
1615.0,310.0,199.0,12.0,24,66,6
453.0,336.0,28.0,12.0,31,33,6
1257.0,655.0,29.0,15.0,16,47,6
912.0,572.0,28.0,13.0,4,33,6
723.0,484.0,31.0,13.0,45,66,6
1932.0,1587.0,31.0,13.0,25,33,6
1803.0,1114.0,43.0,17.0,28,95,6
610.0,1138.0,27.0,12.0,36,69,6
685.0,650.0,31.0,13.0,43,69,6
896.0,486.0,34.0,14.0,22,69,6
1411.0,771.0,41.0,15.0,57,69,6
847.0,913.0,25.0,10.0,3,69,6
284.0,242.0,22.0,10.0,1,33,6
1992.0,1083.0,37.0,14.0,14,95,6
672.0,387.0,25.0,12.0,11,69,6
688.0,558.0,31.0,14.0,64,69,6
597.0,419.0,29.0,12.0,58,69,6
247.0,166.0,23.0,14.0,1,47,6
808.0,564.0,32.0,15.0,39,53,6
553.0,192.0,28.0,10.0,12,66,6
846.0,857.0,45.0,23.0,34,47,6
900.0,608.0,29.0,13.0,39,69,6
482.0,404.0,30.0,15.0,41,47,6
978.0,571.0,31.0,15.0,14,69,6
407.0,214.0,28.0,15.0,19,47,6
974.0,535.0,35.0,15.0,61,69,6
971.0,587.0,42.0,41.0,47,82,6
1367.0,509.0,49.0,28.0,14,45,6
517.0,249.0,34.0,17.0,31,47,6
964.0,573.0,39.0,15.0,49,69,6
536.0,361.0,37.0,21.0,44,47,6
1930.0,1503.0,35.0,32.0,25,47,6
1371.0,905.0,38.0,15.0,28,69,6
3315.0,2461.0,41.0,17.0,69,76,6
754.0,591.0,22.0,10.0,9,69,6
573.0,302.0,31.0,18.0,4,47,6
1591.0,2027.0,29.0,13.0,28,33,6
874.0,638.0,43.0,15.0,63,69,6
14366.0,1237.0,34.0,16.0,16,69,6
1344.0,425.0,22.0,9.0,24,94,6
982.0,252.0,25.0,11.0,8,66,6
673.0,398.0,37.0,19.0,46,47,6
1715.0,319.0,33.0,16.0,33,47,6
731.0,394.0,31.0,12.0,14,33,6
